bedrijf,aangepaste_sector,woonplaats,longitude,latitude,schadekosten_2022
Zalco B.V.,"Industrie, Energie en Raffinaderijen",Vlissingen,3.70297,51.45870,488006
Zeolyst CV,"Industrie, Energie en Raffinaderijen",Farmsum,6.98716,53.30743,455681
Wienerberger Steenfabriek Haaften,"Industrie, Energie en Raffinaderijen",Haaften,5.18996,51.81840,453134
Wienerberger Steenfabriek Thorn,"Industrie, Energie en Raffinaderijen",Thorn,5.86133,51.15684,450690
Everris International BV,"Industrie, Energie en Raffinaderijen",Heerlen,5.99842,50.85346,438286
Steenfabriek Engels Oeffelt BV,"Industrie, Energie en Raffinaderijen",Oeffelt,5.91288,51.68840,428493
Stichting AL-terrein,Handel/Diensten/Overheid en Bouw,Bilthoven,5.18849,52.11815,425302
ExxonMobil Chemical Holland BV (RPP van RPI),"Industrie, Energie en Raffinaderijen",Botlek Rotterdam,4.28821,51.88189,422033
Veolia Industriediensten BV,Handel/Diensten/Overheid en Bouw,Arnhem,5.94187,51.96647,419825
GMB Slibverwerking Tiel BV,"Afval, riolering, waterzuivering",Tiel,5.43424,51.91717,419105
Synbra Technology BV,"Industrie, Energie en Raffinaderijen",Etten-Leur,4.63660,51.62603,417310
Green Box Computing B.V.,Handel/Diensten/Overheid en Bouw,Eemshaven,6.85984,53.42495,411801
Sonneborn Refined Products BV (Amsterdam),"Industrie, Energie en Raffinaderijen",Amsterdam,4.82683,52.39374,400207
Sibelco Winterswijk,Handel/Diensten/Overheid en Bouw,Winterswijk,6.77691,51.96711,395918
Gasunie Vilsteren/Ommen,"Industrie, Energie en Raffinaderijen",Vilsteren,6.36076,52.49436,378903
Amsterdam Coal Processing (ACP Rietlanden),Handel/Diensten/Overheid en Bouw,Amsterdam,4.82265,52.40999,373517
RWZI Amersfoort,"Afval, riolering, waterzuivering",Amersfoort,5.34862,52.17421,372813
Gasunie (Wieringermeer),"Industrie, Energie en Raffinaderijen",Middenmeer,5.05019,52.75977,368370
Wienerberger Steenfabriek Bemmel,"Industrie, Energie en Raffinaderijen",Haalderen,5.91548,51.87677,367357
Seasun BV,Landbouw,Kapelle,3.95018,51.46002,367333
Ovet Terminal Massagoedhaven-Terneuzen,Handel/Diensten/Overheid en Bouw,Terneuzen,3.83451,51.31339,365752
RWZI Tilburg-Noord,"Afval, riolering, waterzuivering",Tilburg,5.06821,51.60196,362511
RWZI Garmerwolde,"Afval, riolering, waterzuivering",Garmerwolde,6.67183,53.24830,354307
RWZI Beverwijk,"Afval, riolering, waterzuivering",Beverwijk,4.66859,52.47422,350037
Kleiwarenfabriek Façade Beek BV,"Industrie, Energie en Raffinaderijen",Beek,5.78530,50.94328,344157
Niacet B.V.,"Industrie, Energie en Raffinaderijen",Tiel,5.41582,51.88337,341600
Wienerberger Dakpannenfabriek Narvik Deest,"Industrie, Energie en Raffinaderijen",Deest,5.67498,51.89105,332980
Zavin C.V.,"Afval, riolering, waterzuivering",Dordrecht,4.73749,51.81587,329451
