bedrijf,aangepaste_sector,woonplaats,longitude,latitude,schadekosten_2022
RWZI Baarle Nassau,"Afval, riolering, waterzuivering",Baarle-Nassau,4.89915,51.44857,61
RWZI Smilde,"Afval, riolering, waterzuivering",Smilde,6.45379,52.94128,59
RWZI Heino,"Afval, riolering, waterzuivering",Heino,6.20242,52.44099,59
Bel Leerdammer BV (Dalfsen),"Industrie, Energie en Raffinaderijen",Dalfsen,6.26210,52.50882,57
RWZI Marum,"Afval, riolering, waterzuivering",Marum,6.26171,53.15295,56
RWZI Tweede Exloermond,"Afval, riolering, waterzuivering",Tweede Exloermond,6.94836,52.91787,55
RWZI Heenvliet,"Afval, riolering, waterzuivering",Heenvliet,4.24885,51.86833,55
RWZI Dinteloord,"Afval, riolering, waterzuivering",Dinteloord,4.36124,51.65183,54
RWZI Bergambacht,"Afval, riolering, waterzuivering",Bergambacht,4.78804,51.94063,53
RWZI Kloosterzande,"Afval, riolering, waterzuivering",Kloosterzande,4.02423,51.37603,51
RWZI Wehe den Hoorn,"Afval, riolering, waterzuivering",Wehe-den Hoorn,6.41477,53.36758,51
RWZI Wieringermeer,"Afval, riolering, waterzuivering",Middenmeer,5.01919,52.83494,50
RWZI Vollenhove,"Afval, riolering, waterzuivering",Vollenhove,5.94855,52.67129,50
RWZI Bergharen,"Afval, riolering, waterzuivering",Bergharen,5.64305,51.84582,50
RWZI Wehl,"Afval, riolering, waterzuivering",Wehl,6.21085,51.96893,49
RWZI Asperen,"Afval, riolering, waterzuivering",Asperen,5.11056,51.88407,48
RWZI Ulrum,"Afval, riolering, waterzuivering",Ulrum,6.33773,53.35322,47
RWZI Beesd,"Afval, riolering, waterzuivering",Beesd,5.16927,51.89791,46
RWZI Schiemonnikoog,"Afval, riolering, waterzuivering",Schiermonnikoog,6.19280,53.47538,45
RWZI Hooge Zwaluwe,"Afval, riolering, waterzuivering",Lage Zwaluwe,4.71445,51.71705,44
RWZI Vlieland,"Afval, riolering, waterzuivering",Vlieland,5.07826,53.29609,43
RWZI Millingen,"Afval, riolering, waterzuivering",Millingen aan de Rijn,6.02297,51.86470,42
RWZI Riel,"Afval, riolering, waterzuivering",Riel,5.02386,51.53418,41
RWZI Dreumel,"Afval, riolering, waterzuivering",Dreumel,5.43961,51.82832,39
RWZI Piershil,"Afval, riolering, waterzuivering",Piershil,4.34631,51.79822,37
RWZI Meijel,"Afval, riolering, waterzuivering",Meijel,5.86950,51.34881,36
RWZI Ossendrecht,"Afval, riolering, waterzuivering",Ossendrecht,4.32257,51.39079,36
RWZI Zetten,"Afval, riolering, waterzuivering",Randwijk,5.71172,51.93846,35
RWZI Bellingwolde,"Afval, riolering, waterzuivering",Bellingwolde,7.17866,53.13034,35
RWZI Chaam,"Afval, riolering, waterzuivering",Chaam,4.85275,51.51218,34
RWZI Stolwijk,"Afval, riolering, waterzuivering",Stolwijk,4.76713,51.98007,33
RWZI Den Ham,"Afval, riolering, waterzuivering",Den Ham,6.47814,52.46506,30
SVI Abdissenbosch,"Afval, riolering, waterzuivering",Landgraaf,6.02862,50.92379,28
RWZI Overasselt,"Afval, riolering, waterzuivering",Overasselt,5.80070,51.75770,27
RWZI Feerwerd,"Afval, riolering, waterzuivering",Feerwerd,6.47774,53.30322,27
RWZI Willemstad,"Afval, riolering, waterzuivering",Willemstad,4.45586,51.68858,27
RWZI Oosthuizen,"Afval, riolering, waterzuivering",Oosthuizen,4.99477,52.57964,27
RWZI Haastrecht,"Afval, riolering, waterzuivering",Haastrecht,4.78430,52.00263,25
RWZI Ooltgensplaat,"Afval, riolering, waterzuivering",Ooltgensplaat,4.35714,51.67299,24
RWZI Putte,"Afval, riolering, waterzuivering",Putten,4.38778,51.36530,23
RWZI Den Bommel,"Afval, riolering, waterzuivering",Den Bommel,4.26549,51.72511,22
RWZI Maasbommel,"Afval, riolering, waterzuivering",Maasbommel,5.52212,51.82972,16
RWZI Ammerstol,"Afval, riolering, waterzuivering",Ammerstol,4.80563,51.92993,16
RWZI Vossemeer,"Afval, riolering, waterzuivering",Nieuw Vossemeer,4.22017,51.57410,15
RWZI Berkenwoude,"Afval, riolering, waterzuivering",Berkenwoude,4.70387,51.92848,10
Vecom Metal Treatment Technology BV,"Industrie, Energie en Raffinaderijen",Maassluis,4.24385,51.92239,3
Martens Havenontvangstinst. Vlissingen BV,Handel/Diensten/Overheid en Bouw,Nieuwdorp,3.71116,51.44272,1
