bedrijf,longitude,latitude
Cargill BV - Cargill Cocoa (Eenhoorn-Mol),4.79571,52.49664
Allnex Netherlands B.V.,4.26728,51.50601
Vliegveld de Kooy,4.78278,52.92250
RWZI Zwolle,6.04934,52.50872
Damen Shiprepair Rotterdam,4.37729,51.90366
Papierfabriek Doetinchem BV,6.29290,51.96024
Koninklijke Mosa BV Wandtegelfabriek,5.70602,50.85724
SCA Tissue Nederland BV,5.85786,51.75156
RWZI Susteren,5.83359,51.06257
FMC Chemicals Netherlands BV,6.96656,53.31157
Dishman Netherlands B.V.,5.55988,52.02921
Groot Zevert Vergisting,6.59765,52.07461
ICL-IP Terneuzen BV,3.83663,51.30025
Forbo Flooring BV,4.76691,52.48818
Basell Benelux BV,4.57398,51.66841
RWZI Nieuwgraaf,6.00255,51.97245
Alblasserdam Yachtbuilding B.V. (Oceanco),4.65611,51.86000
RWZI Nieuwegein,5.07054,52.00392
AWZI Kralingseveer,4.54194,51.90856
Cargill B.V.,4.28321,51.88171
Greif Nederland BV,4.21959,51.90606
Stadsverwarming Purmerend HWC1,4.96666,52.50120
Gasunie LNG,4.06742,51.94435
Lyempf Kampen BV,5.92606,52.54940
Rixona BV (Warffum),6.52601,53.39455
Dow Benelux BV (Delfzijl),6.95803,53.30959
RWZI Elburg,5.83394,52.45811
Vlisco Helmond BV,5.65565,51.47534
AWZI Tollebeek,5.68742,52.68685
Havenbedrijf de Rietlanden BV,4.86991,52.40750
RWZI Venlo,6.15814,51.38146
Unilever Nederland BV,5.53496,51.76499
RWZI Emmen,6.88136,52.73117
FrieslandCampina Kievit (Meppel),6.17409,52.69182
Solidpack BV,6.04296,52.13088
Mars Nederland BV,5.51829,51.61293
Ten Cate Protect BV afd Protective Fabrics,6.47084,52.36933
Janssen Biologics BV,4.45499,52.16720
Unipol Holland BV,5.55113,51.78266
RWZI Ede,5.62116,52.04042
Damen Shiprepair Harlingen BV,5.43008,53.18983
RWZI Haarlem-Waarderpolder,4.66875,52.39656
Steenfabriek Nievelsteen BV,6.07295,50.89295
Steenfabriek Linssen BV,6.01940,50.85388
Steenfabriek Vogelensangh BV,5.67512,51.89012
DIS BV,5.87296,51.01524
Intern. Flav. & Fragranc. I.F.F. BV,5.04768,51.58459
Ducor Petrochemicals B.V.,4.24411,51.88989
RWZI Walcheren,3.61452,51.44364
Olenex Edible Oils B.V.,4.32879,51.88553
RWZI Arnhem-Zuid,5.85477,51.96727
W A Sanders Papierfabriek Coldenhove BV,6.05559,52.09665
BYK Netherlands B.V.,6.20235,52.24185
Nouryon Functional Chemicals,6.17122,52.24065
Drukkerij Zwart,5.36623,52.16515
Huhtamaki Nederland BV,5.54172,53.18228
Abbott Healthcare Products BV,5.03445,52.30348
RWZI Roermond,5.98885,51.21930
RWZI Harderwijk,5.63110,52.35778
IOI - Loders Croklaan Oils B.V.,4.02511,51.96842
Delrin Netherlands B.V.,4.72339,51.81795
Hochwald Nederland BV,5.51146,53.06118
Componenta BV (Hoensbroek),5.94052,50.90741
Mayr-Melnhof Eerbeek BV,6.06343,52.10389
WEPA Nederland B.V.,6.03060,51.23277
Gasunie (Spijk),6.86982,53.41165
Gasunie (Ravenstein),5.66150,51.78253
RWZI Tiel,5.43222,51.91727
BASF Nederland B.V. (Nijehaske),5.88958,52.96970
Mead Johnson BV,5.80817,51.84371
KBM Master Alloys BV (Delfzijl),6.97433,53.30398
Solidus Solutions Board B.V. (Hoogkerk),6.50766,53.21353
RWZI Deventer,6.12880,52.27119
RWZI Etten,6.32051,51.93269
RWZI Horstermeer,5.08566,52.25803
RWZI Dongemond,4.85123,51.67457
Damen Schelde Naval Shipbuilding B.V. en Scheldepoort B.V,3.67179,51.46140
SACHEM Europe BV,5.26326,51.79810
Alblasserdam Yachtbuilding Construction B.V.,4.61939,51.80917
Scheepswerf K.S.G.,3.57751,51.44558
Nederlof Scheepsbouw BV,4.86146,51.70755
Wilmar Oleochemicals BV,4.25733,51.88463
RWZI Leeuwarden,5.82860,53.19504
NV Nutricia Zoetermeer,4.49505,52.04753
FrieslandCampina Cheese (Gerkesklooster),6.20050,53.23847
RWZI Zaandam-Oost,4.85824,52.43009
FrieslandCampina Cheese Marum,6.25396,53.14060
Scheepswerf Hoebee,4.68886,51.81838
PQ Silicas BV (Maastricht),5.70448,50.88178
Invista Nederland BV (Rozenburg),4.25563,51.88763
